,Node,Clustering_coeff
0,0,0.0
1,1,0.0
2,2,0.0
3,469,0.0
4,6,0.0
5,385,0.0
6,3,0.0
7,380,0.0
8,37415,0.0
9,5,0.333
10,384,0.0
11,386,0.0
12,4,0.167
13,419,0.0
14,422,0.0
15,98,0.167
16,420,0.0
17,35698,0.0
18,183,0.0
19,423,0.0
20,470,0.0
21,35729,0.0
22,35709,0.0
23,7,0.0
24,8,0.0
25,9,0.333
26,79,0.0
27,33,0.0
28,10,0.333
29,84,0.167
30,78,0.0
31,119,0.0
32,32,0.0
33,34,0.0
34,11,0.333
35,110,0.333
36,83,0.0
37,85,0.0
38,12,0.167
39,111,0.333
40,112,0.167
41,13,0.167
42,95,0.333
43,108,0.167
44,14,0.0
45,94,0.0
46,109,0.333
47,113,0.333
48,123,0.0
49,96,0.0
50,15,0.0
51,16,0.0
52,77,0.0
53,93,0.0
54,17,0.167
55,18,0.333
56,3254,0.167
57,19,0.0
58,3255,0.0
59,36971,0.0
60,20,0.0
61,23,0.0
62,21,0.0
63,22,0.0
64,24,0.0
65,25,0.0
66,26,0.0
67,27,0.0
68,28,0.0
69,29,0.0
70,30,0.0
71,31,0.0
72,3247,0.0
73,3253,0.0
74,35943,0.0
75,3246,0.0
76,3248,0.0
77,3249,0.0
78,3204,0.0
79,35950,0.0
80,2203,0.0
81,3252,0.0
82,3257,0.0
83,2146,0.0
84,2204,0.0
85,35,0.0
86,36,0.0
87,50,0.0
88,1199,0.333
89,37,0.333
90,35885,0.0
91,1645159,0.0
92,49,0.0
93,185,0.0
94,1198,0.167
95,1205,1.0
96,38,0.333
97,1641586,0.333
98,35884,0.0
99,1645157,0.0
100,1645156,0.0
101,1648644,0.0
102,39,0.0
103,1633418,0.0
104,40,0.0
105,1641587,0.0
106,41,0.0
107,1641577,0.0
108,1641576,0.0
109,1641606,0.0
110,42,0.333
111,1641355,0.0
112,1641363,0.0
113,43,0.333
114,1639779,0.333
115,1628954,0.0
116,1639780,0.0
117,44,0.0
118,45,0.0
119,1542024,0.0
120,46,0.167
121,1154,0.0
122,1538392,0.0
123,1542023,0.0
124,1639781,0.0
125,47,0.333
126,27108,0.0
127,27325,0.167
128,1153,0.0
129,1155,0.0
130,1538362,0.0
131,1538390,0.0
132,1538391,0.0
133,48,0.0
134,27107,0.0
135,27250,0.0
136,27323,0.0
137,27335,0.0
138,27343,0.0
139,184,0.0
140,27342,0.0
141,35887,0.0
142,39411,0.0
143,35886,0.0
144,52,0.333
145,53,0.167
146,54,0.333
147,4152,0.0
148,223,0.0
149,225,0.0
150,4120,0.0
151,4148,0.0
152,4153,0.0
153,4156,0.0
154,224,0.0
155,3937,0.0
156,4113,0.0
157,4114,0.0
158,4154,0.0
159,55,0.0
160,56,0.0
161,57,0.0
162,1068,0.1
163,1099,0.0
164,76,0.0
165,1069,0.333
166,58,0.0
167,1071,0.167
168,1072,0.0
169,1096,0.0
170,1116,0.167
171,36235,0.0
172,74,0.0
173,1075,0.0
174,59,0.0
175,1089,0.167
176,32419,0.0
177,1070,0.0
178,1098,0.333
179,1110,0.333
180,60,0.0
181,61,0.0
182,62,0.0
183,171,0.333
184,172,0.333
185,63,0.0
186,64,0.0
187,339,0.0
188,65,0.0
189,2220,0.0
190,338,0.167
191,341,0.0
192,36187,0.0
193,66,0.0
194,2155,0.0
195,2157,0.0
196,2219,0.0
197,2221,0.0
198,67,0.0
199,68,0.167
200,2254,0.0
201,2156,0.0
202,2158,0.0
203,2161,0.0
204,69,0.0
205,70,0.167
206,2251,0.333
207,2252,0.0
208,71,0.0
209,1052,0.0
210,72,0.0
211,1049,0.0
212,1050,0.0
213,2256,0.0
214,2258,0.0
215,73,0.0
216,1048,0.0
217,75,0.0
218,1073,0.0
219,1076,0.0
220,80,0.0
221,455,0.0
222,81,0.0
223,105,0.0
224,454,0.0
225,116,0.0
226,118,0.0
227,342,0.167
228,82,0.0
229,104,0.167
230,107,0.333
231,124,0.333
232,114,0.0
233,86,0.167
234,87,0.333
235,88,0.333
236,128,0.167
237,315,0.0
238,97,0.167
239,134,0.333
240,89,0.0
241,146,0.0
242,129,0.167
243,452,0.0
244,135,0.333
245,316,0.333
246,90,0.0
247,91,0.0
248,92,0.0
249,133,0.0
250,132,0.0
251,139,0.0
252,410,0.167
253,471,0.0
254,35881,0.0
255,35728,0.0
256,99,0.167
257,100,0.0
258,101,0.167
259,136,0.2
260,6790,0.2
261,103,0.0
262,137,0.167
263,6760,0.0
264,102,0.0
265,6771,0.167
266,421,0.333
267,6792,0.333
268,6805,0.167
269,6791,0.0
270,6802,1.0
271,6713,0.0
272,6748,0.0
273,6764,0.0
274,6757,0.0
275,6733,0.0
276,6738,0.067
277,6772,1.0
278,6722,0.0
279,6734,0.0
280,6736,0.0
281,6737,0.0
282,6765,0.0
283,6711,0.0
284,6714,0.0
285,6717,0.0
286,6747,0.0
287,6759,0.0
288,106,0.167
289,151,0.0
290,150,0.0
291,152,0.0
292,115,0.167
293,117,0.167
294,120,0.167
295,169,0.333
296,122,0.0
297,121,0.333
298,170,0.0
299,36184,0.0
300,453,0.0
301,340,0.333
302,36185,0.0
303,125,0.2
304,126,0.333
305,127,0.167
306,176,0.333
307,355,0.0
308,383,0.0
309,354,0.0
310,353,0.0
311,443,0.0
312,381,0.0
313,153,0.167
314,155,0.333
315,37498,0.0
316,356,0.0
317,358,0.0
318,442,0.0
319,130,0.167
320,154,0.167
321,444,0.0
322,145,0.0
323,41762,0.0
324,131,0.0
325,359,0.0
326,36966,0.0
327,41761,0.0
328,138,0.0
329,387,0.0
330,6770,0.333
331,6793,0.1
332,6797,0.0
333,6763,0.0
334,6766,0.0
335,388,0.0
336,140,0.333
337,141,0.333
338,142,0.333
339,391,0.0
340,389,0.0
341,392,0.333
342,390,0.0
343,143,0.0
344,144,0.167
345,177,0.0
346,178,0.333
347,186,0.333
348,187,0.0
349,41763,0.0
350,147,0.0
351,148,0.0
352,149,0.0
353,166,0.0
354,167,0.0
355,168,0.0
356,317,0.0
357,162,0.0
358,36963,0.0
359,303,0.0
360,318,0.0
361,357,0.0
362,156,0.333
363,157,0.333
364,158,0.333
365,1057,0.333
366,175,0.333
367,1093,0.333
368,159,0.0
369,1058,0.0
370,173,0.0
371,160,0.0
372,1056,0.0
373,161,0.0
374,36965,0.0
375,1055,0.0
376,36964,0.0
377,163,0.0
378,164,0.0
379,165,0.0
380,174,0.0
381,314,0.0
382,179,0.167
383,180,0.0
384,181,0.0
385,425,0.333
386,42066,0.167
387,379,0.0
388,434,0.0
389,182,0.0
390,426,0.167
391,35695,0.167
392,424,0.333
393,42067,0.0
394,42074,0.0
395,435,0.0
396,460,0.167
397,42076,0.0
398,35699,0.0
399,35696,0.0
400,35703,1.0
401,35746,0.333
402,35890,0.0
403,35891,0.0
404,35892,0.0
405,35895,0.0
406,312,0.0
407,41764,0.0
408,188,0.0
409,189,0.0
410,190,0.0
411,369,0.333
412,191,0.0
413,193,0.0
414,351,0.0
415,367,0.333
416,368,1.0
417,441,0.0
418,360,0.0
419,440,0.0
420,192,0.0
421,195,0.0
422,461,0.0
423,350,0.0
424,371,0.0
425,194,0.0
426,201,0.0
427,203,0.0
428,375,0.333
429,202,0.0
430,352,0.0
431,462,0.0
432,373,0.0
433,374,0.333
434,42079,0.333
435,196,0.0
436,197,0.0
437,198,0.0
438,7178,0.0
439,200,0.0
440,23401,0.0
441,199,0.0
442,15697,0.0
443,7176,0.0
444,7179,0.0
445,503,0.0
446,24015,0.0
447,7332,0.0
448,15686,0.0
449,205,0.167
450,372,0.333
451,204,0.167
452,206,0.0
453,213,0.167
454,209,0.333
455,207,0.333
456,433,0.0
457,211,0.0
458,212,0.0
459,208,0.333
460,344,0.333
461,432,0.167
462,260,0.167
463,343,0.0
464,210,0.0
465,235,0.0
466,227,0.0
467,230,0.0
468,236,0.0
469,41752,0.0
470,370,0.0
471,41755,0.0
472,229,0.333
473,261,0.0
474,226,0.0
475,234,0.0
476,214,0.333
477,215,0.333
478,216,0.333
479,309,0.0
480,308,0.0
481,310,0.0
482,311,0.0
483,313,0.0
484,307,0.0
485,36178,0.0
486,217,0.0
487,218,0.0
488,222,0.1
489,7925,0.0
490,219,0.0
491,7923,0.0
492,221,0.0
493,4895,0.0
494,4899,0.333
495,7926,0.167
496,220,0.0
497,7922,0.0
498,7924,0.0
499,7931,0.0
500,7921,0.0
501,7901,0.0
502,7918,0.0
503,7932,0.0
504,7937,0.0
505,7881,0.0
506,7888,0.0
507,7882,0.0
508,7887,0.0
509,4896,0.0
510,4898,0.0
511,7927,0.0
512,43222,0.0
513,4109,0.0
514,4110,0.0
515,3940,0.0
516,3938,0.0
517,4100,0.0
518,4096,0.0
519,4099,0.0
520,4117,0.0
521,4149,0.0
522,228,0.333
523,251,0.0
524,255,0.333
525,273,0.0
526,233,0.0
527,254,0.0
528,259,0.167
529,42078,0.333
530,231,0.0
531,232,0.0
532,289,0.0
533,245,0.0
534,276,0.0
535,288,0.0
536,250,0.333
537,244,0.0
538,246,0.0
539,247,0.333
540,274,0.0
541,275,0.0
542,277,0.0
543,278,0.0
544,41753,0.0
545,41754,0.0
546,243,0.333
547,248,0.333
548,237,0.333
549,238,0.167
550,239,0.1
551,3930,0.0
552,241,0.0
553,3295,0.0
554,240,0.0
555,3271,0.0
556,3889,0.0
557,3931,0.0
558,3292,0.0
559,3296,0.0
560,4080,0.0
561,3276,0.0
562,3272,0.0
563,3888,0.0
564,3890,0.0
565,3275,0.0
566,3277,0.0
567,3291,0.0
568,242,0.0
569,36218,0.0
570,253,0.0
571,249,0.0
572,36219,0.0
573,252,0.0
574,1159,0.0
575,1158,0.0
576,256,0.0
577,257,0.0
578,258,0.0
579,272,0.0
580,35850,0.167
581,42587,0.0
582,271,0.333
583,35851,0.167
584,36974,0.333
585,42588,0.0
586,42586,0.0
587,36975,0.0
588,42077,0.0
589,262,0.0
590,263,0.0
591,264,0.0
592,549,0.0
593,550,0.0
594,265,0.0
595,267,0.0
596,548,0.0
597,279,0.0
598,36211,0.0
599,525,0.0
600,36210,0.0
601,266,0.0
602,268,0.0
603,1918,0.0
604,269,0.0
605,290,0.167
606,297,0.333
607,1919,0.0
608,36987,0.0
609,270,0.333
610,42585,0.0
611,291,0.333
612,327,0.333
613,1920,0.0
614,296,0.333
615,42583,0.167
616,301,0.333
617,42582,0.0
618,280,0.0
619,281,0.0
620,282,0.167
621,35769,0.0
622,285,0.333
623,42598,0.0
624,283,0.333
625,286,0.167
626,35773,0.0
627,35768,0.0
628,35852,0.0
629,284,0.167
630,35845,0.333
631,35846,0.333
632,35841,0.0
633,35854,0.0
634,42600,0.0
635,287,0.0
636,35772,0.0
637,35775,0.0
638,35847,0.0
639,35844,0.0
640,35771,0.0
641,35774,0.0
642,42570,0.0
643,35848,0.0
644,36212,0.0
645,36215,0.0
646,292,0.333
647,293,0.167
