,Character,Clustering_coeff
0,266192,0.583
1,199792,0.508
2,174430,0.5
3,209010,0.667
4,224517,0.439
5,102794,0.393
6,192135,0.867
7,324856,0.467
8,173346,0.467
9,167791,0.37
10,316554,0.319
11,96848,0.44
12,318184,0.8
13,167355,0.648
14,220308,0.409
15,122515,0.822
16,312484,0.416
17,236457,0.75
18,3076,0.673
19,171623,0.893
20,128621,0.81
21,157354,0.679
22,201808,0.679
23,164928,0.444
24,183394,0.38
25,126163,0.773
26,182028,0.399
27,216132,0.889
28,169786,0.343
29,341169,0.731
30,286096,0.694
31,162886,0.345
32,161936,0.556
33,291457,0.475
34,120677,0.585
35,237182,0.439
36,279537,0.533
37,233078,0.617
38,246900,0.49
39,233398,0.8
40,84876,0.522
41,274364,0.467
42,177736,0.394
43,115746,0.575
44,266507,0.505
45,285774,0.762
46,170216,0.944
47,251247,0.5
48,340466,1.0
49,12333,0.429
50,28720,0.576
51,276025,0.762
52,193738,0.43
53,169426,0.867
54,125153,1.0
55,187645,0.59
56,283355,0.8
57,244521,0.571
58,185343,0.857
59,233247,0.692
60,124361,0.542
61,73439,0.822
62,342942,0.463
63,265188,0.733
64,328871,0.694
65,247763,0.697
66,203993,0.8
67,196340,0.933
68,35677,0.821
69,229853,0.75
70,205896,1.0
71,189932,0.733
